"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_log_level_is_normalised_to_upper_case","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"Check constraints, so invalid data is impossible rather than merely unlikely.","5","test_the_claims_table_constrains_status_and_amount","tests.db","2026-08-20","passed","2026-08-20","","test_integrity","",""
"Windows rejects these outright; Linux allows some of them and then surprises you.","0","test_characters_illegal_in_a_windows_path_are_removed[tests/api/test_x.py::test_colon[10:30]]","tests.framework","2026-08-20","passed","2026-08-20","test_characters_illegal_in_a_windows_path_are_removed[tests/api/test_x.py","test_artifacts","",""
"UI-CLM-010 - a terminal state must look terminal.

    Offering a button that can only fail is a defect in its own right: the user
    tries it, gets an error, and loses confidence in everything else on the page.
    ","168","test_a_settled_claim_offers_no_further_actions[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_claim_workflow","",""
"The inside edge. Without it, an API that rejects everything would pass.","9","test_one_cent_under_the_coverage_limit_is_accepted","tests.api","2026-08-20","passed","2026-08-20","","test_claims_validation","",""
"API-STATE-005 - every combination that is not a published edge.

    Uses the administrator-capable actor so a refusal can only be about the
    claim's *state*, never about the caller's role. Role restrictions are proved
    separately in test_authorization.py; mixing the two would make a failure here
    ambiguous.
    ","46","test_illegal_transitions_are_refused[REJECTED-cannot-reject]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"API-STATE-002 - DRAFT through to PAID, one step at a time.","51","test_a_claim_can_travel_the_full_lifecycle","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"RFC 7235: a 401 carries WWW-Authenticate telling the client what to send.","3","test_a_rejected_request_advertises_the_expected_scheme","tests.api","2026-08-20","passed","2026-08-20","","test_auth","",""
"The taxonomy the framework already raises is the taxonomy the report uses.

    Keying on exception types rather than on message wording is what makes this
    survive: messages get reworded, ``ServiceNotReadyError`` does not.
    ","1","test_environment_failures_are_recognised_by_exception_type[httpx.ConnectError: [Errno 111] Connection refused-True]","tests.framework","2026-08-20","passed","2026-08-20","","test_allure_support","",""
"","0","test_worker_defaults_to_main_outside_xdist","tests.framework","2026-08-20","passed","2026-08-20","","test_artifacts","",""
"API-CLM-012 - the limit is inclusive.

    Uses the 2 500.00 policy deliberately: it sits *below* the adjuster approval
    limit, so this test cannot accidentally be measuring the wrong boundary.
    ","8","test_an_amount_exactly_at_the_coverage_limit_is_accepted","tests.api","2026-08-20","passed","2026-08-20","","test_claims_validation","",""
"API-CLM-008. A PATCH that quietly resets other fields is a classic defect.","19","test_updating_a_draft_changes_only_the_field_sent","tests.api","2026-08-20","passed","2026-08-20","","test_claims_crud","",""
"API-CLM-002. A write that cannot be read back is not a write.","16","test_a_created_claim_can_be_read_back_unchanged","tests.api","2026-08-20","passed","2026-08-20","","test_claims_crud","",""
"","8","test_the_default_page_size_matches_the_published_contract","tests.api","2026-08-20","passed","2026-08-20","","test_claims_crud","",""
"","1","test_environment_variables_override_defaults","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"API-AUTH-009. Also validates the full user contract in one line.","42","test_me_returns_the_caller_identity","tests.api","2026-08-20","passed","2026-08-20","","test_auth","",""
"","1","test_safe_dsn_masks_the_password","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"UI-FORM-003 - the outside edge of the length rule.","177","test_a_description_below_the_minimum_length_is_rejected[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_claim_form","",""
"API-STATE-005 - every combination that is not a published edge.

    Uses the administrator-capable actor so a refusal can only be about the
    claim's *state*, never about the caller's role. Role restrictions are proved
    separately in test_authorization.py; mixing the two would make a failure here
    ambiguous.
    ","64","test_illegal_transitions_are_refused[REJECTED-cannot-start_review]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"`True` is Python; `true` is what belongs in a properties file.","0","test_booleans_render_the_way_a_reader_expects","tests.framework","2026-08-20","passed","2026-08-20","","test_allure_support","",""
"The other side of the race: never delete a directory that has evidence.","0","test_pruning_keeps_a_directory_that_gained_evidence_mid_sweep","tests.framework","2026-08-20","passed","2026-08-20","","test_artifacts","",""
"API-STATE-005 - every combination that is not a published edge.

    Uses the administrator-capable actor so a refusal can only be about the
    claim's *state*, never about the caller's role. Role restrictions are proved
    separately in test_authorization.py; mixing the two would make a failure here
    ambiguous.
    ","30","test_illegal_transitions_are_refused[DRAFT-cannot-approve]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"UI-CLM-001 - the read path, end to end.

    Searching for the claim's own reference rather than scanning the whole table:
    the table holds the seeded corpus plus whatever other workers are creating at
    this moment, so ""it is somewhere on the page"" is not a safe assertion under
    parallel execution.
    ","362","test_a_claim_created_through_the_api_appears_in_the_table[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_claims_list","",""
"API-STATE-004 - the double-payout guard, the highest-value check here.

    Paying twice is the classic financial defect: money leaves the business
    twice for one claim. The storage layer also refuses it via a unique
    constraint; this proves the API surfaces that as a clean conflict rather than
    a 500, and DB-CLM-003 proves only one payout row exists.
    ","84","test_paying_the_same_claim_twice_is_refused","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"API-STATE-005 - every combination that is not a published edge.

    Uses the administrator-capable actor so a refusal can only be about the
    claim's *state*, never about the caller's role. Role restrictions are proved
    separately in test_authorization.py; mixing the two would make a failure here
    ambiguous.
    ","59","test_illegal_transitions_are_refused[PAID-cannot-reject]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"API-CLM-020. A claim cannot be made for an incident that has not happened.","6","test_invalid_incident_dates_are_rejected[impossible-day]","tests.api","2026-08-20","passed","2026-08-20","","test_claims_validation","",""
